,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
529,Goleta Valley Cottage Hospital,Short Term Acute Care Hospital,Goleta,Santa Barbara,California,52.0,28.0,8,8,0.0,0.3550881,24,1.0
530,Santa Barbara Cottage Hospital,Short Term Acute Care Hospital,Santa Barbara,Santa Barbara,California,461.0,325.0,40,40,30.0,0.6969774,136,6.0
531,Santa Ynez Valley Cottage Hospital,Critical Access Hospital,Solvang,Santa Barbara,California,11.0,11.0,2,2,0.0,0.1514321,0,1.0
532,Lucile Packard Childrens Hospital Stanford (AKA Stanford Childrens Health),Childrens Hospital,Palo Alto,Santa Clara,California,396.0,345.0,124,124,124.0,0.7245583,51,5.0
533,Good Samaritan Hospital,Short Term Acute Care Hospital,San Jose,Santa Clara,California,404.0,309.0,24,24,45.0,0.6592993,95,10.0
534,Stanford Hospital,Short Term Acute Care Hospital,Palo Alto,Santa Clara,California,583.0,447.0,59,59,0.0,0.9032637,136,21.0
535,Kaiser Permanente - San Jose Medical Center,Short Term Acute Care Hospital,San Jose,Santa Clara,California,247.0,235.0,24,24,0.0,0.4297523,12,3.0
536,St Louise Regional Hospital,Short Term Acute Care Hospital,Gilroy,Santa Clara,California,72.0,72.0,8,8,0.0,0.4122146,0,3.0
537,VA Palo Alto Health Care System - Palo Alto Division,VA Hospital,Palo Alto,Santa Clara,California,715.0,715.0,2,2,,,0,2.0
538,El Camino Hospital - Mountain View Campus,Short Term Acute Care Hospital,Mountain View,Santa Clara,California,275.0,388.0,39,39,22.0,0.5110013,-113,13.0
539,Kaiser Permanente - Santa Clara Medical Center,Short Term Acute Care Hospital,Santa Clara,Santa Clara,California,327.0,327.0,38,38,26.0,0.6288048,0,3.0
540,Regional Medical Center of San Jose,Short Term Acute Care Hospital,San Jose,Santa Clara,California,264.0,258.0,34,34,6.0,0.8372306,6,14.0
541,OConnor Hospital,Short Term Acute Care Hospital,San Jose,Santa Clara,California,334.0,324.0,22,22,0.0,0.2936242,10,6.0
542,Santa Clara Valley Medical Center,Short Term Acute Care Hospital,San Jose,Santa Clara,California,681.0,852.0,59,59,53.0,0.5068694,-171,7.0
543,Watsonville Community Hospital,Short Term Acute Care Hospital,Watsonville,Santa Cruz,California,106.0,106.0,6,6,10.0,0.3420522,0,2.0
544,Dominican Hospital,Short Term Acute Care Hospital,Santa Cruz,Santa Cruz,California,222.0,202.0,16,16,14.0,0.6270446,20,10.0
545,Sutter Maternity & Surgery Center of Santa Cruz,Short Term Acute Care Hospital,Santa Cruz,Santa Cruz,California,28.0,30.0,5,5,0.0,0.2505023,-2,1.0
546,Shasta Regional Medical Center,Short Term Acute Care Hospital,Redding,Shasta,California,226.0,205.0,37,37,0.0,0.4045306,21,11.0
547,Patients Hospital of Redding,Short Term Acute Care Hospital,Redding,Shasta,California,10.0,10.0,2,2,0.0,0.08383562,0,0.0
548,Mercy Medical Center Redding,Short Term Acute Care Hospital,Redding,Shasta,California,266.0,267.0,44,44,16.0,0.6277974,-1,19.0
549,Mayers Memorial Hospital,Critical Access Hospital,Fall River Mills,Shasta,California,16.0,22.0,4,4,0.0,0.234122,-6,1.0
550,Mercy Medical Center Mt Shasta,Critical Access Hospital,Mount Shasta,Siskiyou,California,33.0,25.0,4,4,0.0,0.3270137,8,2.0
551,Fairchild Medical Center,Critical Access Hospital,Yreka,Siskiyou,California,28.0,25.0,4,4,0.0,0.5067397,3,2.0
552,Kaiser Permanente - Vallejo Medical Center,Short Term Acute Care Hospital,Vallejo,Solano,California,248.0,200.0,40,40,0.0,0.4231096,48,4.0
553,Sutter Solano Medical Center,Short Term Acute Care Hospital,Vallejo,Solano,California,106.0,106.0,12,12,0.0,0.4466131,0,4.0
554,NorthBay Medical Center,Short Term Acute Care Hospital,Fairfield,Solano,California,132.0,132.0,24,24,16.0,0.6335541,0,5.0
555,Sonoma Specialty Hospital (FKA Sonoma West Medical Center Palm Drive Hospital),Long Term Acute Care Hospital,Sebastopol,Sonoma,California,37.0,37.0,5,5,0.0,0.1178733,0,2.0
556,Kaiser Permanente - Santa Rosa Medical Center,Short Term Acute Care Hospital,Santa Rosa,Sonoma,California,173.0,173.0,20,20,0.0,0.4983609,0,2.0
557,Sonoma Valley Hospital,Short Term Acute Care Hospital,Sonoma,Sonoma,California,24.0,48.0,6,6,0.0,0.2190069,-24,2.0
558,Petaluma Valley Hospital,Short Term Acute Care Hospital,Petaluma,Sonoma,California,80.0,80.0,9,9,0.0,0.3435274,0,3.0
559,Santa Rosa Memorial Hospital,Short Term Acute Care Hospital,Santa Rosa,Sonoma,California,298.0,282.0,26,26,0.0,0.6689738,16,15.0
560,Sutter Santa Rosa Regional Hospital (FKA Sutter Medical Center of Santa Rosa),Short Term Acute Care Hospital,Santa Rosa,Sonoma,California,84.0,84.0,12,12,12.0,0.7745923,0,4.0
561,Healdsburg District Hospital,Critical Access Hospital,Healdsburg,Sonoma,California,26.0,25.0,4,4,0.0,0.317589,1,2.0
562,Emanuel Medical Center,Short Term Acute Care Hospital,Turlock,Stanislaus,California,209.0,209.0,12,12,6.0,0.4460117,0,7.0
563,Oak Valley District Hospital,Short Term Acute Care Hospital,Oakdale,Stanislaus,California,35.0,35.0,5,5,0.0,0.2263014,0,2.0
564,Stanislaus Surgical Hospital,Short Term Acute Care Hospital,Modesto,Stanislaus,California,23.0,23.0,4,4,0.0,0.1058964,0,0.0
565,Memorial Medical Center,Short Term Acute Care Hospital,Modesto,Stanislaus,California,419.0,419.0,35,35,12.0,0.492406,0,19.0
566,Doctors Medical Center Modesto,Short Term Acute Care Hospital,Modesto,Stanislaus,California,394.0,380.0,22,22,45.0,0.8030281,14,16.0
567,Sutter Surgical Hospital North Valley,Short Term Acute Care Hospital,Yuba City,Sutter,California,14.0,14.0,2,2,0.0,0.2258317,0,0.0
568,St Elizabeth Community Hospital,Short Term Acute Care Hospital,Red Bluff,Tehama,California,76.0,49.0,8,8,0.0,0.5535365,27,4.0
569,Trinity Hospital,Critical Access Hospital,Weaverville,Trinity,California,25.0,25.0,4,4,0.0,0.2373699,0,1.0
570,Kaweah Delta Medical Center,Short Term Acute Care Hospital,Visalia,Tulare,California,448.0,403.0,41,41,15.0,0.7401068,45,8.0
571,Adventist Health Tulare (FKA Tulare Regional Medical Center),Short Term Acute Care Hospital,Tulare,Tulare,California,108.0,108.0,14,14,0.0,0.08522727,0,3.0
572,Sierra View Medical Center (FKA Sierra View District Hospital),Short Term Acute Care Hospital,Porterville,Tulare,California,167.0,128.0,10,10,0.0,0.5072346,39,6.0
573,Adventist Health Sonora (FKA Sonora Regional Medical Center),Short Term Acute Care Hospital,Sonora,Tuolumne,California,72.0,84.0,6,6,0.0,0.506882,-12,5.0
574,Adventist Health Simi Valley (FKA Simi Valley Hospital & Health Care Services),Short Term Acute Care Hospital,Simi Valley,Ventura,California,144.0,144.0,24,24,8.0,0.4947869,0,4.0
575,St Johns Regional Medical Center,Short Term Acute Care Hospital,Oxnard,Ventura,California,265.0,242.0,20,20,16.0,0.5373259,23,9.0
576,Ventura County Medical Center,Short Term Acute Care Hospital,Ventura,Ventura,California,180.0,272.0,52,52,24.0,0.4302881,-92,3.0
577,St Johns Pleasant Valley Hospital,Short Term Acute Care Hospital,Camarillo,Ventura,California,58.0,81.0,8,8,0.0,0.4943683,-23,4.0
578,Community Memorial Hospital,Short Term Acute Care Hospital,Ventura,Ventura,California,250.0,201.0,21,21,16.0,0.6265249,49,4.0
579,Los Robles Health System - Los Robles Regional Medical Center,Short Term Acute Care Hospital,Thousand Oaks,Ventura,California,321.0,287.0,24,24,12.0,0.6705742,34,9.0
580,Ojai Valley Community Hospital,Critical Access Hospital,Ojai,Ventura,California,25.0,25.0,4,4,0.0,0.3403836,0,2.0
581,Sutter Davis Hospital,Short Term Acute Care Hospital,Davis,Yolo,California,48.0,48.0,6,6,0.0,0.6097032,0,3.0
582,Woodland Memorial Hospital,Short Term Acute Care Hospital,Woodland,Yolo,California,74.0,77.0,8,8,0.0,0.3414678,-3,4.0
583,Rideout - Adventist Health and Rideout (FKA Rideout Memorial Hospital),Short Term Acute Care Hospital,Marysville,Yuba,California,221.0,149.0,24,24,6.0,0.7073475,72,12.0
584,Platte Valley Medical Center,Short Term Acute Care Hospital,Brighton,Adams,Colorado,98.0,89.0,8,8,16.0,0.3365245,9,2.0
585,UCHealth University of Colorado Hospital,Short Term Acute Care Hospital,Aurora,Adams,Colorado,698.0,650.0,144,144,50.0,0.8355469,48,20.0
586,North Suburban Medical Center,Short Term Acute Care Hospital,Thornton,Adams,Colorado,157.0,127.0,16,16,0.0,0.5709201,30,5.0
587,Childrens Hospital Colorado - Anschutz Medical Campus,Childrens Hospital,Aurora,Adams,Colorado,444.0,434.0,36,36,82.0,0.6275822,10,5.0
588,SLV Health Regional Medical Center,Short Term Acute Care Hospital,Alamosa,Alamosa,Colorado,49.0,49.0,6,6,0.0,0.3779145,0,2.0
589,The Medical Center of Aurora - Main Campus,Short Term Acute Care Hospital,Aurora,Arapahoe,Colorado,346.0,309.0,45,45,14.0,0.6766432,37,8.0
590,Swedish Medical Center,Short Term Acute Care Hospital,Englewood,Arapahoe,Colorado,408.0,327.0,58,58,17.0,0.7616182,81,10.0
591,Sky Ridge Medical Center,Short Term Acute Care Hospital,Lone Tree,Douglas,Colorado,284.0,284.0,30,30,28.0,0.5273714,0,4.0
592,Littleton Adventist Hospital,Short Term Acute Care Hospital,Littleton,Arapahoe,Colorado,231.0,159.0,24,24,14.0,0.6603946,72,4.0
593,Pagosa Springs Medical Center (FKA Pagosa Mountain Hospital),Critical Access Hospital,Pagosa Springs,Archuleta,Colorado,11.0,11.0,2,2,0.0,0.2956413,0,1.0
594,Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),Short Term Acute Care Hospital,Lafayette,Boulder,Colorado,234.0,183.0,24,24,12.0,0.6969234,51,6.0
595,Avista Adventist Hospital,Short Term Acute Care Hospital,Louisville,Boulder,Colorado,114.0,108.0,8,8,26.0,0.3495434,6,2.0
596,Longmont United Hospital,Short Term Acute Care Hospital,Longmont,Boulder,Colorado,186.0,131.0,16,16,6.0,0.3856949,55,2.0
597,Heart of the Rockies Regional Medical Center,Critical Access Hospital,Salida,Chaffee,Colorado,25.0,25.0,2,2,0.0,0.4101918,0,2.0
598,Keefe Memorial Hospital,Short Term Acute Care Hospital,Cheyenne Wells,Cheyenne,Colorado,25.0,11.0,2,2,,0.05678705,14,1.0
599,Delta Memorial Hospital,Short Term Acute Care Hospital,Delta,Delta,Colorado,49.0,49.0,6,6,0.0,0.273693,0,2.0
600,National Jewish Health,Short Term Acute Care Hospital,Denver,Denver,Colorado,46.0,24.0,4,4,0.0,0.02134703,22,2.0
601,Rose Medical Center,Short Term Acute Care Hospital,Denver,Denver,Colorado,422.0,226.0,35,35,24.0,0.4880818,196,5.0
602,Porter Adventist Hospital,Short Term Acute Care Hospital,Denver,Denver,Colorado,368.0,176.0,36,36,0.0,0.5125,192,3.0
603,Saint Joseph Hospital (FKA Exempla St Joseph Hospital),Short Term Acute Care Hospital,Denver,Denver,Colorado,400.0,361.0,30,30,35.0,0.6354722,39,3.0
604,Denver Health Main Campus,Short Term Acute Care Hospital,Denver,Denver,Colorado,555.0,378.0,55,55,25.0,0.6413538,177,4.0
605,Presbyterian/St Lukes Medical Center,Short Term Acute Care Hospital,Denver,Denver,Colorado,680.0,307.0,71,71,42.0,0.5972095,373,5.0
606,St Anthony Hospital,Short Term Acute Care Hospital,Lakewood,Jefferson,Colorado,237.0,220.0,76,76,0.0,0.6982939,17,7.0
607,Parker Adventist Hospital,Short Term Acute Care Hospital,Parker,Douglas,Colorado,170.0,165.0,16,16,12.0,0.4830418,5,3.0
608,Vail Health (FKA Vail Valley Medical Center),Short Term Acute Care Hospital,Vail,Eagle,Colorado,56.0,56.0,5,5,0.0,0.2490705,0,2.0
609,UCHealth Memorial Hospital Central,Short Term Acute Care Hospital,Colorado Springs,El Paso,Colorado,583.0,515.0,46,46,84.0,0.6456127,68,12.0
610,Penrose Hospital,Short Term Acute Care Hospital,Colorado Springs,El Paso,Colorado,364.0,,45,45,46.0,0.5948363,364,9.0
611,St Thomas More Hospital,Critical Access Hospital,Canon City,Fremont,Colorado,25.0,25.0,4,4,0.0,0.5951781,0,2.0
612,Valley View Hospital,Short Term Acute Care Hospital,Glenwood Springs,Garfield,Colorado,78.0,41.0,5,5,2.0,0.8040094,37,2.0
613,Grand River Medical Center (AKA Grand River Health),Critical Access Hospital,Rifle,Garfield,Colorado,25.0,12.0,3,3,0.0,0.43379,13,2.0
614,Gunnison Valley Health,Critical Access Hospital,Gunnison,Gunnison,Colorado,24.0,20.0,3,3,0.0,0.2334247,4,2.0
615,Spanish Peaks Regional Health Center,Critical Access Hospital,Walsenburg,Huerfano,Colorado,20.0,16.0,3,3,0.0,0.1340753,4,0.0
616,St Anthony North Health Campus,Short Term Acute Care Hospital,Westminster,Adams,Colorado,100.0,92.0,20,20,0.0,0.5597975,8,3.0
617,Lutheran Medical Center (FKA Exempla Lutheran Medical Center),Short Term Acute Care Hospital,Wheat Ridge,Jefferson,Colorado,338.0,186.0,18,18,20.0,0.6358816,152,9.0
618,Kit Carson County Memorial Hospital,Critical Access Hospital,Burlington,Kit Carson,Colorado,19.0,19.0,3,3,0.0,0.2438356,0,0.0
619,St Vincent General Hospital District,Critical Access Hospital,Leadville,Lake,Colorado,25.0,8.0,1,1,0.0,0.09486301,17,1.0
620,Animas Surgical Hospital,Short Term Acute Care Hospital,Durango,La Plata,Colorado,12.0,12.0,2,2,0.0,0.2020548,0,0.0
621,Mercy Regional Medical Center,Short Term Acute Care Hospital,Durango,La Plata,Colorado,82.0,82.0,11,11,0.0,0.4490478,0,2.0
622,McKee Medical Center,Short Term Acute Care Hospital,Loveland,Larimer,Colorado,115.0,115.0,11,11,0.0,0.2277784,0,2.0
623,UCHealth Poudre Valley Hospital,Short Term Acute Care Hospital,Fort Collins,Larimer,Colorado,255.0,225.0,12,12,25.0,0.6017778,30,7.0
624,Estes Park Health (FKA Estes Park Medical Center),Critical Access Hospital,Estes Park,Larimer,Colorado,23.0,23.0,4,4,0.0,0.1329315,0,0.0
625,UCHealth Medical Center of the Rockies,Short Term Acute Care Hospital,Loveland,Larimer,Colorado,174.0,174.0,20,20,0.0,0.763675,0,9.0
626,Mt San Rafael Hospital,Critical Access Hospital,Trinidad,Las Animas,Colorado,25.0,25.0,4,4,0.0,0.2870137,0,2.0
627,Sterling Regional MedCenter,Short Term Acute Care Hospital,Sterling,Logan,Colorado,25.0,25.0,4,4,0.0,0.3240548,0,2.0
628,VA Western Colorado Health Care System (AKA Grand Junction VA Medical Center),VA Hospital,Grand Junction,Mesa,Colorado,53.0,53.0,1,1,,,0,2.0
629,Community Hospital (AKA Colorado West Healthcare System),Short Term Acute Care Hospital,Grand Junction,Mesa,Colorado,60.0,53.0,12,12,0.0,0.3218403,7,2.0
630,St Marys Medical Center (FKA St Marys Hospital and Medical Center),Short Term Acute Care Hospital,Grand Junction,Mesa,Colorado,346.0,257.0,18,18,0.0,0.6038484,89,8.0
631,Memorial Regional Health (FKA Memorial Hospital at Craig),Critical Access Hospital,Craig,Moffat,Colorado,25.0,25.0,4,4,0.0,0.3530959,0,2.0
632,Southwest Memorial Hospital,Critical Access Hospital,Cortez,Montezuma,Colorado,25.0,25.0,4,4,0.0,0.3845479,0,2.0
633,Montrose Memorial Hospital,Short Term Acute Care Hospital,Montrose,Montrose,Colorado,75.0,50.0,8,8,0.0,0.3665206,25,2.0
634,Colorado Plains Medical Center,Short Term Acute Care Hospital,Fort Morgan,Morgan,Colorado,50.0,36.0,6,6,0.0,0.1456621,14,2.0
635,East Morgan County Hospital,Critical Access Hospital,Brush,Morgan,Colorado,25.0,25.0,4,4,0.0,0.1636164,0,1.0
636,Arkansas Valley Regional Medical Center,Critical Access Hospital,La Junta,Otero,Colorado,25.0,522.0,5,5,0.0,0.4908219,-497,2.0
637,Melissa Memorial Hospital (AKA East Phillips County Hospital District),Critical Access Hospital,Holyoke,Phillips,Colorado,15.0,15.0,3,3,0.0,0.1926941,0,0.0
638,Aspen Valley Hospital,Critical Access Hospital,Aspen,Pitkin,Colorado,25.0,25.0,4,4,0.0,0.2545753,0,2.0
639,Prowers Medical Center,Critical Access Hospital,Lamar,Prowers,Colorado,25.0,25.0,4,4,0.0,0.3273425,0,1.0
640,St Mary-Corwin Medical Center,Short Term Acute Care Hospital,Pueblo,Pueblo,Colorado,408.0,42.0,6,6,0.0,0.52394,366,3.0
641,Parkview Medical Center,Short Term Acute Care Hospital,Pueblo,Pueblo,Colorado,350.0,276.0,11,11,0.0,0.6733316,74,9.0
642,Pioneers Medical Center,Critical Access Hospital,Meeker,Rio Blanco,Colorado,10.0,10.0,2,2,0.0,0.4016438,0,1.0
643,Rangely District Hospital,Critical Access Hospital,Rangely,Rio Blanco,Colorado,25.0,25.0,4,4,0.0,0.5587945,0,1.0
644,Rio Grande Hospital,Critical Access Hospital,Del Norte,Rio Grande,Colorado,17.0,17.0,3,3,0.0,0.396938,0,2.0
645,UCHealth Yampa Valley Medical Center,Short Term Acute Care Hospital,Steamboat Springs,Routt,Colorado,39.0,39.0,4,4,0.0,0.2238145,0,2.0
646,St Anthony Summit Medical Center,Short Term Acute Care Hospital,Frisco,Summit,Colorado,35.0,34.0,8,8,0.0,0.2525383,1,2.0
647,UCHealth Pikes Peak Regional Hospital,Critical Access Hospital,Woodland Park,Teller,Colorado,15.0,15.0,3,3,0.0,0.2946119,0,1.0
648,North Colorado Medical Center,Short Term Acute Care Hospital,Greeley,Weld,Colorado,378.0,225.0,26,26,0.0,0.5236773,153,4.0
649,Wray Community District Hospital,Critical Access Hospital,Wray,Yuma,Colorado,15.0,15.0,3,3,0.0,0.2645548,0,1.0
650,Yuma District Hospital,Critical Access Hospital,Yuma,Yuma,Colorado,15.0,15.0,3,3,0.0,0.1068493,0,0.0
651,Stamford Hospital (AKA Stamford Health),Short Term Acute Care Hospital,Stamford,Fairfield,Connecticut,288.0,288.0,36,36,0.0,0.5870624,0,9.0
652,St Vincents Medical Center,Short Term Acute Care Hospital,Bridgeport,Fairfield,Connecticut,191.0,191.0,14,14,0.0,0.6655957,0,6.0
653,Bridgeport Hospital,Short Term Acute Care Hospital,Bridgeport,Fairfield,Connecticut,348.0,348.0,32,32,0.0,0.7055739,0,8.0
654,Greenwich Hospital,Short Term Acute Care Hospital,Greenwich,Fairfield,Connecticut,181.0,181.0,10,10,10.0,0.6133959,0,4.0
655,Danbury Hospital,Short Term Acute Care Hospital,Danbury,Fairfield,Connecticut,350.0,350.0,41,41,0.0,0.6178082,0,11.0
656,Norwalk Hospital,Short Term Acute Care Hospital,Norwalk,Fairfield,Connecticut,235.0,235.0,40,40,16.0,0.5009851,0,6.0
657,The Hospital of Central Connecticut - Bradley Memorial Campus,Short Term Acute Care Hospital,Southington,Hartford,Connecticut,84.0,84.0,24,24,0.0,0.6106433,0,5.0
658,UConn John Dempsey Hospital (AKA UConn Health Center),Short Term Acute Care Hospital,Farmington,Hartford,Connecticut,138.0,138.0,20,20,0.0,0.643379,0,3.0
659,Hartford Hospital,Short Term Acute Care Hospital,Hartford,Hartford,Connecticut,867.0,702.0,84,84,0.0,0.8134567,165,14.0
660,Manchester Memorial Hospital,Short Term Acute Care Hospital,Manchester,Hartford,Connecticut,140.0,140.0,32,32,0.0,0.5363796,0,2.0
661,Bristol Hospital,Short Term Acute Care Hospital,Bristol,Hartford,Connecticut,106.0,106.0,14,14,0.0,0.5776169,0,5.0
662,Hebrew Senior Care,Short Term Acute Care Hospital,West Hartford,Hartford,Connecticut,23.0,23.0,4,4,0.0,0.007027993,0,0.0
663,Connecticut Childrens Medical Center,Childrens Hospital,Hartford,Hartford,Connecticut,187.0,187.0,90,90,90.0,0.6572706,0,2.0
664,Saint Francis Hospital and Medical Center,Short Term Acute Care Hospital,Hartford,Hartford,Connecticut,474.0,474.0,42,42,28.0,0.6381334,0,26.0
665,Sharon Hospital,Short Term Acute Care Hospital,Sharon,Litchfield,Connecticut,66.0,66.0,11,11,0.0,0.1875052,0,2.0
666,Charlotte Hungerford Hospital,Short Term Acute Care Hospital,Torrington,Litchfield,Connecticut,91.0,91.0,10,10,0.0,0.6074063,0,5.0
667,Middlesex Hospital (AKA Middlesex Health System),Short Term Acute Care Hospital,Middletown,Middlesex,Connecticut,187.0,187.0,24,24,0.0,0.6242034,0,7.0
668,Bridgeport Hospital Milford Campus (FKA Milford Hospital),Short Term Acute Care Hospital,Milford,New Haven,Connecticut,106.0,106.0,10,10,0.0,0.2552056,0,2.0
669,Saint Marys Hospital,Short Term Acute Care Hospital,Waterbury,New Haven,Connecticut,151.0,151.0,16,16,0.0,0.6551393,0,6.0
670,MidState Medical Center,Short Term Acute Care Hospital,Meriden,New Haven,Connecticut,144.0,144.0,25,25,0.0,0.708289,0,4.0
671,Yale New Haven Hospital,Short Term Acute Care Hospital,New Haven,New Haven,Connecticut,581.0,581.0,88,88,107.0,0.8124436,0,28.0
672,The Connecticut Hospice,Short Term Acute Care Hospital,Branford,New Haven,Connecticut,10.0,10.0,1,1,0.0,0.4969863,0,0.0
673,Masonicare Health Center,Short Term Acute Care Hospital,Wallingford,New Haven,Connecticut,30.0,30.0,5,5,0.0,0.1912329,0,0.0
674,Griffin Hospital,Short Term Acute Care Hospital,Derby,New Haven,Connecticut,101.0,101.0,14,14,0.0,0.658348,0,3.0
675,Waterbury Hospital,Short Term Acute Care Hospital,Waterbury,New Haven,Connecticut,213.0,213.0,20,20,0.0,0.5252042,0,4.0
676,Lawrence & Memorial Hospital,Short Term Acute Care Hospital,New London,New London,Connecticut,236.0,236.0,10,10,13.0,0.6521593,0,7.0
677,The William W Backus Hospital (AKA Backus Hospital),Short Term Acute Care Hospital,Norwich,New London,Connecticut,165.0,165.0,12,12,0.0,0.7049066,0,5.0
678,Rockville General Hospital,Short Term Acute Care Hospital,Vernon,Tolland,Connecticut,102.0,102.0,9,9,0.0,0.4113618,0,2.0
679,Johnson Memorial Hospital,Short Term Acute Care Hospital,Stafford Springs,Tolland,Connecticut,50.0,50.0,7,7,0.0,0.371726,0,2.0
680,Day Kimball Hospital,Short Term Acute Care Hospital,Putnam,Windham,Connecticut,104.0,104.0,6,6,0.0,0.3624605,0,3.0
681,Windham Hospital (FKA Windham Community Memorial Hospital),Short Term Acute Care Hospital,Willimantic,Windham,Connecticut,40.0,40.0,8,8,0.0,0.6743151,0,2.0
682,Bayhealth Hospital - Kent Campus,Short Term Acute Care Hospital,Dover,Kent,Delaware,266.0,281.0,29,29,15.0,0.68772,-15,12.0
683,Christiana Hospital,Short Term Acute Care Hospital,Newark,New Castle,Delaware,906.0,906.0,73,73,0.0,0.7086538,0,58.0
684,Saint Francis Healthcare,Short Term Acute Care Hospital,Wilmington,New Castle,Delaware,395.0,180.0,20,20,6.0,0.3262861,215,4.0
685,Nanticoke Memorial Hospital,Short Term Acute Care Hospital,Seaford,Sussex,Delaware,139.0,94.0,9,9,0.0,0.5343923,45,4.0
686,Beebe Healthcare - Margaret H Rollins Lewes Campus (FKA Beebe Medical Center),Short Term Acute Care Hospital,Lewes,Sussex,Delaware,210.0,195.0,34,34,0.0,0.6356022,15,6.0
687,George Washington University Hospital,Short Term Acute Care Hospital,Washington,District of Columbia,District of Columbia,395.0,329.0,56,56,0.0,0.9180043,66,18.0
688,Howard University Hospital,Short Term Acute Care Hospital,Washington,District of Columbia,District of Columbia,482.0,200.0,36,36,0.0,0.5602756,282,4.0
689,MedStar Georgetown University Hospital,Short Term Acute Care Hospital,Washington,District of Columbia,District of Columbia,609.0,393.0,57,57,47.0,0.8444073,216,14.0
690,Sibley Memorial Hospital,Short Term Acute Care Hospital,Washington,District of Columbia,District of Columbia,342.0,189.0,14,14,0.0,0.587664,153,5.0
691,United Medical Center (AKA Not for Profit Hospital Corporation),Short Term Acute Care Hospital,Washington,District of Columbia,District of Columbia,210.0,157.0,16,16,0.0,0.5122764,53,5.0
692,MedStar Washington Hospital Center,Short Term Acute Care Hospital,Washington,District of Columbia,District of Columbia,912.0,701.0,92,92,0.0,0.8258535,211,38.0
693,Childrens National Medical Center (AKA Childrens National Health System),Childrens Hospital,Washington,District of Columbia,District of Columbia,323.0,323.0,73,73,66.0,0.8339794,0,7.0
694,UF Health Shands Hospital (FKA Shands at the University of Florida),Short Term Acute Care Hospital,Gainesville,Alachua,Florida,1014.0,742.0,170,170,118.0,0.8328447,272,29.0
695,North Florida Regional Medical Center,Short Term Acute Care Hospital,Gainesville,Alachua,Florida,432.0,381.0,41,41,12.0,0.8145975,51,17.0
696,Gulf Coast Regional Medical Center,Short Term Acute Care Hospital,Panama City,Bay,Florida,223.0,222.0,20,20,32.0,0.695469,1,8.0
697,Ascension Sacred Heart Hospital Bay (AKA Bay Medical Sacred Heart),Short Term Acute Care Hospital,Panama City,Bay,Florida,323.0,293.0,57,57,0.0,0.5559867,30,12.0
698,Shands Starke Regional Medical Center,Critical Access Hospital,Starke,Bradford,Florida,49.0,25.0,4,4,0.0,0.445589,24,2.0
699,Melbourne Regional Medical Center (FKA Wuesthoff Medical Center - Melbourne),Short Term Acute Care Hospital,Melbourne,Brevard,Florida,119.0,113.0,12,12,0.0,0.267984,6,3.0
700,Parrish Medical Center (AKA Parrish Healthcare),Short Term Acute Care Hospital,Titusville,Brevard,Florida,210.0,210.0,8,8,0.0,0.3379909,0,6.0
701,Holmes Regional Medical Center,Short Term Acute Care Hospital,Melbourne,Brevard,Florida,550.0,514.0,64,64,0.0,0.7424977,36,21.0
702,Rockledge Regional Medical Center (FKA Wuesthoff Medical Center - Rockledge),Short Term Acute Care Hospital,Rockledge,Brevard,Florida,298.0,274.0,31,31,0.0,0.4081292,24,6.0
703,Cape Canaveral Hospital,Short Term Acute Care Hospital,Cocoa Beach,Brevard,Florida,150.0,150.0,12,12,0.0,0.4912146,0,5.0
704,Plantation General Hospital,Short Term Acute Care Hospital,Plantation,Broward,Florida,264.0,264.0,61,61,51.0,0.4694653,0,8.0
705,Westside Regional Medical Center,Short Term Acute Care Hospital,Plantation,Broward,Florida,250.0,224.0,32,32,0.0,0.732253,26,10.0
706,Memorial Hospital Pembroke,Short Term Acute Care Hospital,Pembroke Pines,Broward,Florida,301.0,301.0,24,24,0.0,0.2852137,0,2.0
707,Northwest Medical Center,Short Term Acute Care Hospital,Margate,Broward,Florida,283.0,228.0,24,24,11.0,0.6931747,55,6.0
708,Broward Health Imperial Point (FKA Imperial Point Medical Center),Short Term Acute Care Hospital,Fort Lauderdale,Broward,Florida,204.0,129.0,10,10,0.0,0.5436551,75,3.0
709,University Hospital & Medical Center,Short Term Acute Care Hospital,Tamarac,Broward,Florida,317.0,245.0,15,15,0.0,0.3319094,72,4.0
710,Broward Health North (FKA North Broward Medical Center),Short Term Acute Care Hospital,Deerfield Beach,Broward,Florida,409.0,304.0,29,29,0.0,0.5914023,105,7.0
711,Holy Cross Hospital,Short Term Acute Care Hospital,Fort Lauderdale,Broward,Florida,557.0,319.0,44,44,9.0,0.5777094,238,10.0
712,Memorial Regional Hospital,Short Term Acute Care Hospital,Hollywood,Broward,Florida,797.0,553.0,92,92,84.0,0.5801921,244,10.0
713,Broward Health Medical Center (FKA Broward General Medical Center),Short Term Acute Care Hospital,Fort Lauderdale,Broward,Florida,716.0,572.0,57,57,0.0,0.6077881,144,10.0
714,Cleveland Clinic Florida,Short Term Acute Care Hospital,Weston,Broward,Florida,206.0,206.0,48,48,0.0,0.8502502,0,5.0
